stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_2_e_None,mt_2_e_0.01,mt_2_e_0.1,mt_2_e_1,mt_2_e_10,mt_2_e_100,mt_4_e_None,mt_4_e_0.01,mt_4_e_0.1,mt_4_e_1,mt_4_e_10,mt_4_e_100,mt_5_e_None,mt_5_e_0.01,mt_5_e_0.1,mt_5_e_1,mt_5_e_10,mt_5_e_100,mt_6_e_None,mt_6_e_0.01,mt_6_e_0.1,mt_6_e_1,mt_6_e_10,mt_6_e_100,mt_16_e_None,mt_16_e_0.01,mt_16_e_0.1,mt_16_e_1,mt_16_e_10,mt_16_e_100
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.73,0.73,0.73,0.73,0.47,0.468,0.47,0.47,0.47,0.47,0.15,0.151,0.15,0.15,0.15,0.15,0.08,0.083,0.08,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.001,0.0,0.0,0.0,0.0
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.73,0.73,0.73,0.73,0.47,0.468,0.47,0.47,0.47,0.47,0.15,0.151,0.15,0.15,0.15,0.15,0.08,0.083,0.08,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.001,0.0,0.0,0.0,0.0
ntrips_double,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.73,0.73,0.73,0.73,0.47,0.468,0.47,0.47,0.47,0.47,0.15,0.151,0.15,0.15,0.15,0.15,0.08,0.083,0.08,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.001,0.0,0.0,0.0,0.0
ntrips_single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_users,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_places,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.03,0.029,0.03,0.03,0.03,0.03,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.015,0.001,0.0,0.0,0.0
uid,0.0,333.4,43.9,9.7,0.2,0.0,0.0,380.1,44.1,4.7,0.9,0.0,0.0,1582.0,156.9,10.5,1.2,0.0,0.0,1581.8,52.1,16.4,1.4,0.1,0.0,2412.2,409.6,15.5,1.1,0.3,0.0,1597.0,395.5,23.8,3.0,0.6,0.0,4676.2,736.8,48.8,5.8,0.2
tid,0.0,562.1,45.0,7.2,0.3,0.0,0.0,809.1,67.6,7.7,0.4,0.0,0.0,360.5,124.9,14.5,0.7,0.0,0.0,731.7,99.6,16.6,2.2,0.1,0.0,1928.7,96.9,19.7,3.8,0.2,0.0,1401.3,287.8,19.7,1.6,0.2,0.0,5673.4,799.8,51.7,7.5,0.9
datetime,0.0,352.1,60.9,0.9,0.2,0.0,0.0,435.1,50.1,4.4,1.2,0.0,0.0,817.1,93.2,2.2,1.1,0.0,0.0,1488.3,339.4,17.8,1.3,0.0,0.0,976.4,400.6,17.6,0.8,0.4,0.0,2248.4,314.5,51.4,3.9,0.1,0.0,4516.9,1211.9,110.0,4.1,0.9
lat,0.0,675.2,25.7,8.5,0.6,0.0,0.0,469.3,118.1,3.6,0.1,0.0,0.0,922.1,124.3,9.1,1.5,0.0,0.0,2532.5,189.0,3.9,1.0,0.2,0.0,2079.7,115.7,35.8,3.2,0.2,0.0,2509.7,681.6,12.9,3.9,0.4,0.0,13685.7,679.6,70.8,5.0,1.5
lng,0.0,589.8,74.4,4.1,0.1,0.0,0.0,289.8,101.3,11.2,0.5,0.0,0.0,890.7,37.3,7.4,0.8,0.0,0.0,3082.4,66.2,13.8,2.3,0.1,0.0,1754.6,274.4,10.0,4.8,0.2,0.0,3170.2,447.6,64.5,3.6,0.3,0.0,9399.0,407.3,27.9,10.9,1.3
trips_over_time_mre,0.0,0.74,0.451,0.043,0.002,0.0,1.316,1.601,1.435,1.417,1.331,1.332,0.842,1.264,1.162,0.979,0.852,0.837,0.319,1.077,0.785,0.537,0.346,0.313,0.187,1.06,0.774,0.478,0.196,0.187,0.108,1.058,0.685,0.358,0.134,0.11,0.0,1.144,0.602,0.646,0.108,0.004
trips_over_time_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trips_per_weekday,0.0,0.28,0.058,0.004,0.0,0.0,1.316,1.231,1.357,1.328,1.324,1.332,0.842,1.051,0.737,0.824,0.836,0.837,0.319,0.639,0.43,0.301,0.322,0.313,0.187,0.673,0.469,0.199,0.178,0.187,0.108,0.579,0.427,0.098,0.108,0.109,0.0,0.672,0.377,0.061,0.005,0.0
trips_per_hour,0.0,0.011,0.001,0.0,0.0,0.0,1.195,1.199,1.196,1.194,1.194,1.194,0.661,0.665,0.66,0.661,0.661,0.661,0.2,0.214,0.2,0.201,0.201,0.2,0.11,0.137,0.11,0.11,0.11,0.11,0.054,0.094,0.054,0.054,0.054,0.054,0.0,0.136,0.015,0.002,0.0,0.0
counts_per_tile_smape,0.0,0.115,0.02,0.003,0.0,0.0,1.149,1.171,1.151,1.149,1.149,1.149,0.597,0.687,0.609,0.598,0.597,0.598,0.163,0.391,0.201,0.168,0.164,0.164,0.086,0.376,0.139,0.092,0.087,0.086,0.04,0.403,0.108,0.048,0.04,0.04,0.0,0.696,0.164,0.03,0.003,0.0
rel_counts_per_tile_smape,0.0,0.115,0.02,0.003,0.0,0.0,0.032,0.29,0.075,0.034,0.032,0.032,0.03,0.294,0.069,0.034,0.03,0.03,0.013,0.333,0.073,0.019,0.013,0.013,0.008,0.36,0.08,0.016,0.008,0.008,0.005,0.401,0.087,0.015,0.006,0.005,0.0,0.692,0.164,0.03,0.003,0.0
counts_per_tile_emd,0.0,34.404,5.71,0.459,0.0,0.0,54.346,141.631,57.255,54.969,55.898,55.23,55.415,143.515,54.621,54.676,53.597,55.152,17.766,165.324,24.504,17.912,17.708,19.303,10.252,183.292,20.833,10.824,10.29,11.872,7.716,210.548,20.521,7.918,7.599,6.859,0.0,512.507,55.268,7.856,0.852,0.0
counts_per_tile_outliers,0.0,4.611,0.839,0.15,0.0,0.0,0.667,4.422,1.372,0.678,0.744,0.661,0.372,16.522,1.228,0.406,0.506,0.45,0.156,52.211,1.778,0.211,0.145,0.172,0.078,1.633,4.111,0.567,0.106,0.067,0.028,44.267,2.067,0.439,0.073,0.034,0.0,224.55,20.233,1.061,0.195,0.006
counts_per_tile_quartiles,0.0,0.962,0.973,0.58,0.161,0.004,1.13,1.249,1.342,1.21,1.146,1.13,0.576,1.068,1.101,1.084,0.678,0.582,0.164,1.184,1.023,0.882,0.529,0.231,0.091,1.02,1.033,0.924,0.433,0.125,0.048,1.132,1.013,0.861,0.466,0.12,0.0,1.04,1.062,0.971,0.683,0.226
counts_per_tile_timewindow_emd,0.0,462.124,65.701,8.449,0.089,0.0,142.306,964.845,294.186,138.634,141.312,137.926,122.044,958.633,282.748,125.416,120.9,116.484,52.874,1052.923,284.382,66.138,52.894,53.9,32.0,1109.975,317.081,49.738,32.934,34.331,20.447,1175.76,334.494,51.105,20.486,20.349,0.0,1511.546,616.152,100.659,12.823,0.83
counts_per_tile_timewindow,0.0,0.568,0.163,0.031,0.0,0.0,1.175,1.26,1.19,1.179,1.175,1.176,0.64,1.04,0.745,0.658,0.64,0.639,0.188,1.021,0.464,0.243,0.195,0.188,0.102,1.066,0.448,0.177,0.112,0.102,0.049,1.114,0.462,0.145,0.062,0.049,0.0,1.404,0.693,0.217,0.044,0.002
rel_counts_per_tile_timewindow,0.0,0.567,0.163,0.031,0.0,0.0,0.18,0.952,0.404,0.203,0.18,0.18,0.131,0.954,0.391,0.169,0.132,0.13,0.056,1.022,0.406,0.125,0.062,0.055,0.036,1.062,0.43,0.122,0.046,0.036,0.022,1.104,0.459,0.125,0.035,0.022,0.0,1.343,0.691,0.217,0.044,0.002
od_flows,0.0,1.772,1.307,0.586,0.007,0.0,1.229,1.8,1.52,1.304,1.23,1.229,0.63,1.855,1.551,1.084,0.673,0.631,0.162,1.903,1.636,1.083,0.392,0.161,0.081,1.915,1.671,1.126,0.401,0.081,0.036,1.924,1.699,1.169,0.431,0.036,0.0,1.962,1.826,1.429,0.745,0.043
rel_od_flows,0.0,1.617,1.289,0.592,0.007,0.0,0.941,1.654,1.535,1.159,0.942,0.94,0.524,1.655,1.531,1.052,0.57,0.524,0.197,1.658,1.558,1.085,0.413,0.197,0.118,1.659,1.572,1.127,0.42,0.118,0.061,1.66,1.584,1.166,0.441,0.061,0.0,1.665,1.636,1.394,0.751,0.044
od_flows_all_flows,0.0,1.474,1.077,0.449,0.004,0.0,0.817,1.497,1.253,0.999,0.819,0.817,0.419,1.543,1.285,0.862,0.456,0.419,0.107,1.584,1.358,0.88,0.279,0.107,0.054,1.593,1.388,0.919,0.292,0.054,0.024,1.601,1.412,0.957,0.317,0.024,0.0,1.633,1.519,1.182,0.587,0.029
rel_od_flows_all_flows,0.0,1.345,1.062,0.453,0.005,0.0,0.625,1.375,1.265,0.888,0.627,0.625,0.348,1.377,1.268,0.836,0.386,0.348,0.131,1.38,1.292,0.882,0.294,0.131,0.078,1.38,1.306,0.92,0.305,0.078,0.041,1.381,1.316,0.955,0.325,0.041,0.0,1.386,1.361,1.153,0.591,0.029
travel_time_emd,0.0,1.052,0.006,0.0,0.0,0.0,1.122,1.656,1.255,1.124,1.118,1.131,1.13,2.04,1.246,1.13,1.124,1.135,0.516,1.969,0.877,0.513,0.516,0.517,0.327,2.66,0.971,0.328,0.326,0.326,0.174,2.021,0.99,0.174,0.174,0.174,0.0,4.326,0.814,0.137,0.001,0.0
travel_time_outliers,0.0,0.02,0.002,0.0,0.0,0.0,0.734,0.716,0.734,0.734,0.733,0.734,0.467,0.49,0.464,0.469,0.468,0.468,0.156,0.184,0.15,0.157,0.157,0.156,0.083,0.157,0.087,0.083,0.083,0.083,0.041,0.13,0.043,0.041,0.041,0.041,0.0,0.359,0.051,0.004,0.0,0.0
travel_time_quartiles,0.0,0.046,0.0,0.0,0.0,0.0,0.026,0.079,0.055,0.026,0.027,0.028,0.028,0.089,0.055,0.028,0.028,0.028,0.017,0.08,0.043,0.017,0.017,0.017,0.012,0.102,0.048,0.012,0.012,0.012,0.012,0.09,0.046,0.012,0.012,0.012,0.0,0.152,0.028,0.004,0.0,0.0
jump_length_emd,0.0,69.981,6.219,0.241,0.033,0.0,206.778,246.345,213.637,209.77,207.211,207.388,209.044,232.273,213.577,210.487,208.294,209.514,91.002,204.409,108.251,92.775,91.398,91.646,58.503,187.091,72.513,59.531,58.481,58.126,31.18,160.006,51.642,32.313,31.132,31.285,0.0,356.234,61.96,6.06,0.404,0.098
jump_length_outliers,0.0,0.013,0.001,0.0,0.0,0.0,0.693,0.686,0.692,0.693,0.692,0.693,0.386,0.381,0.385,0.386,0.387,0.386,0.102,0.086,0.099,0.101,0.102,0.101,0.051,0.064,0.052,0.05,0.051,0.051,0.022,0.04,0.022,0.022,0.022,0.022,0.0,0.141,0.025,0.002,0.0,0.0
jump_length_quartiles,0.0,0.004,0.0,0.0,0.0,0.0,0.044,0.049,0.044,0.044,0.044,0.044,0.044,0.046,0.044,0.044,0.044,0.044,0.021,0.03,0.021,0.021,0.021,0.021,0.014,0.027,0.014,0.014,0.014,0.014,0.007,0.068,0.009,0.008,0.007,0.007,0.0,0.218,0.006,0.0,0.0,0.0
traj_per_user_quartiles,0.0,0.08,0.038,0.023,0.0,0.0,1.126,1.126,1.126,1.126,1.126,1.126,0.616,0.616,0.616,0.616,0.616,0.616,0.284,0.284,0.284,0.284,0.284,0.284,0.21,0.21,0.21,0.21,0.21,0.21,0.182,0.182,0.182,0.182,0.182,0.182,0.0,0.068,0.043,0.02,0.001,0.0
traj_per_user_outliers,0.0,36.1,12.5,0.6,0.0,0.0,0.0,71.8,5.2,1.3,0.0,0.0,0.0,61.8,5.4,0.6,0.1,0.0,0.0,43.6,3.3,0.4,0.0,0.0,0.0,18.6,4.9,0.3,0.0,0.0,0.0,32.7,11.8,0.5,0.0,0.0,0.0,26.2,4.6,0.3,0.0,0.0
user_time_delta_quartiles,0.0,0.15,0.051,0.017,0.003,0.0,,,,,,,0.615,1.056,0.648,0.591,0.605,0.612,0.261,0.563,0.315,0.268,0.259,0.256,0.155,0.389,0.23,0.187,0.165,0.157,0.086,0.421,0.171,0.128,0.102,0.086,0.0,0.562,0.107,0.057,0.021,0.002
user_time_delta_outliers,0.0,0.004,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.432,0.432,0.434,0.433,0.433,0.434,0.093,0.093,0.093,0.093,0.093,0.093,0.045,0.049,0.045,0.045,0.045,0.045,0.019,0.021,0.021,0.02,0.02,0.02,0.0,0.091,0.004,0.001,0.0,0.0
radius_gyration_emd,0.0,104.61,23.668,2.878,0.011,0.0,657.973,675.254,659.62,657.561,657.438,657.425,216.258,239.282,218.15,216.852,216.58,215.658,30.522,103.272,38.016,30.292,30.415,30.233,12.698,118.719,22.896,12.75,12.692,12.533,4.76,83.54,19.608,4.71,4.686,4.588,0.0,122.947,17.729,2.848,0.015,0.0
radius_gyration_quartiles,0.0,0.408,0.401,0.04,0.0,0.0,0.318,0.322,0.319,0.318,0.318,0.318,0.08,0.126,0.08,0.08,0.08,0.08,0.009,0.375,0.17,0.009,0.009,0.009,0.004,0.414,0.324,0.004,0.004,0.004,0.001,0.407,0.362,0.121,0.001,0.001,0.0,0.41,0.321,0.08,0.0,0.0
radius_gyration_outliers,0.0,0.031,0.002,0.0,0.0,0.0,0.03,0.035,0.032,0.037,0.035,0.038,0.014,0.02,0.012,0.011,0.018,0.016,0.004,0.019,0.004,0.004,0.003,0.003,0.002,0.012,0.003,0.003,0.001,0.002,0.002,0.025,0.002,0.001,0.001,0.001,0.0,0.021,0.001,0.0,0.0,0.0
location_entropy_mre,0.0,1.549,0.649,0.073,0.026,0.025,0.045,1.542,0.685,0.092,0.051,0.05,0.017,1.694,0.976,0.151,0.034,0.03,0.003,1.798,1.28,0.298,0.038,0.026,0.002,1.844,1.346,0.364,0.045,0.025,0.001,1.854,1.411,0.438,0.049,0.025,0.0,1.933,1.668,0.916,0.128,0.028
user_tile_count_emd,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.535,0.535,0.535,0.535,0.535,0.535,0.54,0.289,0.461,0.53,0.54,0.539,0.508,0.433,0.344,0.43,0.472,0.448,0.44,0.442,0.207,0.333,0.44,0.444,0.0,0.394,0.463,0.708,0.081,0.0
user_tile_count_quartiles,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.28,0.28,0.28,0.28,0.28,0.28,0.08,0.133,0.1,0.082,0.08,0.08,0.044,0.114,0.078,0.06,0.051,0.055,0.032,0.093,0.066,0.051,0.032,0.03,0.0,0.093,0.056,0.017,0.002,0.0
uncorrelated_entropy_emd,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.019,0.019,0.019,0.019,0.019,0.019,0.005,0.005,0.005,0.005,0.005,0.005,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
uncorrelated_entropy_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.025,0.025,0.025,0.009,0.009,0.009,0.009,0.009,0.009,0.002,0.003,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
