stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_2_e_None,mt_2_e_0.01,mt_2_e_0.1,mt_2_e_1,mt_2_e_10,mt_2_e_100,mt_4_e_None,mt_4_e_0.01,mt_4_e_0.1,mt_4_e_1,mt_4_e_10,mt_4_e_100,mt_5_e_None,mt_5_e_0.01,mt_5_e_0.1,mt_5_e_1,mt_5_e_10,mt_5_e_100,mt_20_e_None,mt_20_e_0.01,mt_20_e_0.1,mt_20_e_1,mt_20_e_10,mt_20_e_100
n_records,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.662,0.66,0.66,0.66,0.66,0.335,0.335,0.335,0.333,0.334,0.335,0.08,0.081,0.08,0.08,0.08,0.08,0.04,0.042,0.041,0.04,0.04,0.04,0.0,0.032,0.0,0.0,0.0,0.0
n_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.662,0.66,0.66,0.66,0.66,0.33,0.334,0.332,0.33,0.33,0.33,0.08,0.08,0.08,0.08,0.08,0.08,0.04,0.039,0.042,0.04,0.04,0.04,0.0,0.034,0.001,0.0,0.0,0.0
ntrips_double,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.663,0.66,0.66,0.66,0.66,0.34,0.338,0.339,0.34,0.34,0.34,0.08,0.081,0.08,0.08,0.08,0.08,0.04,0.045,0.041,0.04,0.04,0.04,0.0,0.028,0.0,0.0,0.0,0.0
ntrips_single,0.0,0.103,0.007,0.0,0.0,0.0,0.517,0.425,0.513,0.514,0.513,0.511,0.19,0.134,0.197,0.189,0.188,0.185,0.029,0.298,0.055,0.03,0.03,0.03,0.014,0.899,0.062,0.013,0.015,0.016,0.0,1.19,0.241,0.016,0.0,0.0
n_users,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_places,0.0,0.164,0.012,0.001,0.0,0.0,0.0,0.169,0.012,0.003,0.0,0.0,0.0,0.359,0.024,0.002,0.0,0.0,0.0,0.596,0.097,0.004,0.0,0.0,0.0,0.621,0.115,0.004,0.0,0.0,0.0,1.288,0.42,0.031,0.003,0.0
uid,0.0,638.4,53.5,7.1,0.6,0.0,0.0,506.8,96.6,9.8,0.5,0.0,0.0,575.9,122.1,10.5,0.4,0.1,0.0,927.4,189.6,14.9,1.8,0.3,0.0,1273.4,435.0,18.4,3.6,0.7,0.0,25978.2,1841.8,88.9,8.5,0.9
tid,0.0,429.9,25.0,14.7,0.4,0.0,0.0,577.9,39.2,4.8,0.2,0.0,0.0,868.9,97.5,10.4,0.8,0.0,0.0,3242.0,137.3,24.1,0.7,0.0,0.0,1794.1,195.7,19.4,2.0,0.2,0.0,12090.1,1296.8,104.1,9.0,1.1
datetime,0.0,676.4,7.5,7.0,0.6,0.0,0.0,256.5,27.1,4.6,0.1,0.0,0.0,1601.0,45.4,12.2,0.9,0.1,0.0,2047.8,438.2,6.8,1.9,0.1,0.0,3749.5,554.3,66.0,2.7,0.2,0.0,3972.4,487.1,49.4,11.1,0.3
lat,0.0,265.6,19.1,5.7,0.4,0.0,0.0,526.4,66.3,1.6,1.0,0.0,0.0,407.5,156.4,4.8,0.3,0.1,0.0,2229.2,196.9,16.6,1.5,0.0,0.0,628.9,319.1,24.5,5.9,0.4,0.0,11470.8,1614.4,203.5,16.3,2.2
lng,0.0,390.4,48.4,2.5,0.3,0.0,0.0,362.4,80.5,3.6,0.5,0.1,0.0,882.3,63.1,16.3,1.0,0.0,0.0,1716.0,469.3,23.1,0.1,0.0,0.0,3423.0,267.0,35.2,5.2,0.2,0.0,16826.9,557.2,37.0,9.1,0.3
trips_over_time_mre,0.0,0.109,0.009,0.001,0.0,0.0,0.986,1.065,1.009,0.988,0.986,0.986,0.397,0.528,0.422,0.4,0.398,0.397,0.084,0.283,0.128,0.087,0.084,0.084,0.044,0.252,0.101,0.047,0.044,0.044,0.0,0.647,0.144,0.015,0.002,0.0
trips_over_time_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trips_per_weekday,0.0,0.072,0.014,0.002,0.0,0.0,0.988,0.99,1.009,0.994,0.985,1.001,0.41,0.552,0.419,0.4,0.403,0.404,0.083,0.327,0.176,0.083,0.084,0.082,0.042,0.333,0.128,0.049,0.04,0.042,0.0,0.406,0.28,0.028,0.005,0.0
trips_per_hour,0.0,0.244,0.049,0.005,0.0,0.0,0.945,1.039,0.972,0.95,0.949,0.946,0.368,0.604,0.457,0.369,0.366,0.37,0.078,0.423,0.219,0.104,0.076,0.076,0.041,0.426,0.196,0.067,0.041,0.04,0.0,0.648,0.327,0.111,0.013,0.001
counts_per_tile_smape,0.0,0.756,0.201,0.043,0.002,0.0,0.971,1.191,1.033,0.993,0.973,0.971,0.394,1.129,0.576,0.434,0.399,0.393,0.083,1.277,0.481,0.172,0.102,0.084,0.044,1.339,0.526,0.151,0.065,0.044,0.0,1.68,1.018,0.302,0.073,0.009
rel_counts_per_tile_smape,0.0,0.751,0.201,0.043,0.002,0.0,0.089,1.116,0.388,0.144,0.091,0.089,0.077,1.129,0.394,0.135,0.083,0.077,0.033,1.225,0.474,0.131,0.051,0.033,0.023,1.256,0.526,0.136,0.043,0.023,0.0,1.431,0.997,0.302,0.073,0.01
counts_per_tile_emd,0.0,992.527,110.798,17.772,0.543,0.0,218.475,1952.908,389.615,201.885,218.493,215.759,230.255,2001.299,393.303,224.381,234.413,221.183,102.337,2382.466,468.143,113.591,102.87,104.606,86.175,2828.451,486.686,79.984,79.918,78.576,0.0,3231.142,1908.292,215.185,26.329,5.381
counts_per_tile_outliers,0.0,26.2,11.1,0.8,0.0,0.0,0.0,68.0,15.4,3.3,0.0,0.0,0.0,165.8,3.7,2.6,0.2,0.0,0.0,1028.4,36.5,3.0,0.3,0.0,0.0,479.5,22.8,4.2,0.3,0.0,0.0,2669.6,67.0,6.5,0.9,0.1
counts_per_tile_quartiles,0.0,0.876,0.713,0.199,0.025,0.0,0.787,1.255,1.295,0.989,0.793,0.787,0.311,1.047,0.95,0.587,0.328,0.309,0.061,1.017,0.936,0.65,0.103,0.065,0.028,0.946,0.96,0.524,0.13,0.036,0.0,0.967,0.868,0.791,0.51,0.028
counts_per_tile_timewindow_emd,0.0,2934.964,1292.998,454.778,13.608,0.0,586.571,3382.333,1943.975,931.537,597.96,575.795,399.637,3367.556,2022.829,940.231,405.438,390.787,145.682,3570.06,2313.91,1025.378,294.171,146.29,87.615,3576.282,2394.705,1046.168,291.268,88.63,0.0,3800.939,3398.08,1739.885,687.023,59.964
counts_per_tile_timewindow,0.0,1.329,0.688,0.237,0.003,0.0,0.86,1.417,1.137,0.969,0.86,0.86,0.362,1.495,1.0,0.613,0.384,0.361,0.078,1.593,1.092,0.514,0.168,0.078,0.041,1.624,1.152,0.54,0.162,0.041,0.0,1.744,1.479,0.875,0.351,0.027
rel_counts_per_tile_timewindow,0.0,1.265,0.688,0.238,0.003,0.0,0.367,1.382,0.988,0.53,0.367,0.365,0.196,1.385,0.988,0.476,0.218,0.196,0.066,1.409,1.085,0.507,0.154,0.066,0.042,1.412,1.135,0.539,0.161,0.042,0.0,1.438,1.356,0.873,0.353,0.028
od_flows,0.0,1.987,1.946,1.778,0.109,0.0,1.217,1.988,1.952,1.865,1.257,1.217,0.517,1.992,1.965,1.879,1.131,0.518,0.103,1.995,1.977,1.91,1.506,0.103,0.05,1.996,1.98,1.92,1.6,0.051,0.0,1.999,1.992,1.964,1.862,0.842
rel_od_flows,0.0,1.965,1.959,1.874,0.13,0.0,1.398,1.965,1.962,1.92,1.412,1.398,0.701,1.965,1.963,1.936,1.145,0.701,0.173,1.966,1.964,1.949,1.633,0.172,0.09,1.966,1.965,1.953,1.727,0.091,0.0,1.965,1.965,1.963,1.927,0.975
od_flows_all_flows,0.0,1.047,0.986,0.613,0.007,0.0,0.072,1.048,0.989,0.642,0.078,0.072,0.031,1.053,1.018,0.799,0.111,0.031,0.006,1.055,1.035,0.906,0.292,0.006,0.003,1.056,1.039,0.931,0.372,0.003,0.0,1.058,1.053,1.018,0.792,0.082
rel_od_flows_all_flows,0.0,1.036,0.993,0.646,0.008,0.0,0.083,1.037,0.995,0.661,0.088,0.083,0.041,1.039,1.017,0.823,0.112,0.041,0.01,1.04,1.029,0.925,0.316,0.01,0.005,1.04,1.031,0.947,0.401,0.005,0.0,1.04,1.039,1.017,0.82,0.095
travel_time_emd,0.0,4.381,2.806,0.005,0.0,0.0,1.707,4.637,4.458,3.605,1.712,1.704,1.647,5.149,4.157,2.208,1.65,1.659,0.559,5.88,3.789,2.161,0.554,0.556,0.335,5.934,4.604,3.74,0.34,0.337,0.0,8.443,4.577,4.196,1.86,0.001
travel_time_outliers,0.0,0.212,0.032,0.003,0.0,0.0,0.583,0.568,0.599,0.588,0.589,0.585,0.215,0.344,0.227,0.211,0.21,0.21,0.034,0.729,0.136,0.039,0.035,0.033,0.013,0.918,0.209,0.018,0.015,0.015,0.0,3.344,0.367,0.036,0.006,0.001
travel_time_quartiles,0.0,0.366,0.24,0.0,0.0,0.0,0.0,0.418,0.4,0.28,0.0,0.0,0.0,0.436,0.36,0.08,0.0,0.0,0.0,0.49,0.32,0.16,0.0,0.0,0.0,0.465,0.4,0.32,0.0,0.0,0.0,0.635,0.377,0.36,0.16,0.0
jump_length_emd,0.0,174.542,23.975,2.232,0.246,0.0,215.652,324.315,241.792,220.023,218.284,215.801,221.792,294.788,238.816,225.559,221.493,222.235,69.901,518.561,136.626,84.856,71.36,70.022,41.368,524.433,132.945,51.48,41.795,41.294,0.0,1283.156,349.249,42.23,4.908,0.47
jump_length_outliers,0.0,0.031,0.002,0.0,0.0,0.0,0.612,0.608,0.612,0.613,0.613,0.612,0.238,0.242,0.24,0.238,0.238,0.237,0.044,0.077,0.04,0.045,0.044,0.044,0.021,0.156,0.027,0.021,0.021,0.021,0.0,0.488,0.04,0.008,0.0,0.0
jump_length_quartiles,0.0,0.023,0.003,0.0,0.0,0.0,0.053,0.158,0.059,0.053,0.053,0.053,0.061,0.09,0.062,0.061,0.061,0.06,0.021,0.164,0.028,0.022,0.021,0.021,0.013,0.19,0.021,0.014,0.013,0.013,0.0,0.571,0.061,0.005,0.0,0.0
traj_per_user_quartiles,0.0,0.188,0.084,0.06,0.005,0.0,0.869,0.869,0.869,0.869,0.869,0.869,0.461,0.487,0.461,0.461,0.461,0.461,0.267,0.293,0.267,0.267,0.267,0.267,0.24,0.24,0.24,0.24,0.24,0.24,0.0,0.175,0.107,0.053,0.008,0.0
traj_per_user_outliers,0.0,27.8,5.8,0.6,0.0,0.0,0.0,16.0,4.1,0.2,0.0,0.0,0.0,28.7,2.5,0.2,0.0,0.0,0.0,37.8,5.1,0.1,0.0,0.0,0.0,32.1,8.7,0.5,0.0,0.0,0.0,86.2,2.8,0.3,0.0,0.0
user_time_delta_quartiles,0.0,0.102,0.049,0.022,0.006,0.0,,,,,,,0.408,0.599,0.46,0.427,0.416,0.408,0.118,0.273,0.181,0.163,0.131,0.122,0.067,0.32,0.149,0.099,0.091,0.07,0.0,0.767,0.122,0.061,0.03,0.014
user_time_delta_outliers,0.0,0.104,0.012,0.001,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.545,0.578,0.543,0.55,0.546,0.543,0.267,0.377,0.294,0.268,0.275,0.266,0.199,0.391,0.213,0.199,0.201,0.2,0.0,2.151,0.428,0.02,0.003,0.0
radius_gyration_emd,0.0,189.253,13.59,2.725,0.085,0.0,345.008,386.866,347.537,343.649,344.726,343.507,115.155,230.231,130.191,115.252,116.763,113.293,11.326,125.799,25.164,13.1,11.595,11.574,3.957,160.999,17.401,5.388,4.246,4.118,0.0,160.74,17.085,2.21,0.22,0.0
radius_gyration_quartiles,0.0,0.054,0.006,0.0,0.0,0.0,0.199,0.187,0.198,0.198,0.199,0.199,0.066,0.082,0.068,0.066,0.067,0.066,0.006,0.039,0.008,0.007,0.006,0.006,0.002,0.046,0.005,0.002,0.002,0.002,0.0,0.058,0.005,0.0,0.0,0.0
radius_gyration_outliers,0.0,0.016,0.001,0.0,0.0,0.0,0.136,0.142,0.137,0.139,0.137,0.138,0.044,0.039,0.046,0.045,0.045,0.044,0.005,0.013,0.003,0.004,0.004,0.004,0.002,0.02,0.003,0.003,0.002,0.003,0.0,0.013,0.002,0.0,0.0,0.0
location_entropy_mre,0.0,1.653,0.905,0.142,0.046,0.044,0.057,1.659,0.904,0.163,0.079,0.076,0.026,1.775,1.198,0.277,0.063,0.054,0.007,1.857,1.433,0.49,0.07,0.046,0.005,1.876,1.49,0.586,0.082,0.045,0.0,1.962,1.81,1.28,0.339,0.056
user_tile_count_emd,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.492,0.455,0.491,0.491,0.492,0.492,0.421,0.2,0.397,0.427,0.417,0.419,0.404,0.15,0.337,0.409,0.412,0.404,0.0,0.19,0.175,0.107,0.0,0.0
user_tile_count_quartiles,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.234,0.252,0.234,0.234,0.234,0.234,0.047,0.147,0.094,0.065,0.039,0.045,0.016,0.127,0.074,0.056,0.029,0.016,0.0,0.104,0.069,0.02,0.0,0.0
uncorrelated_entropy_emd,0.0,0.003,0.0,0.0,0.0,0.0,0.041,0.042,0.041,0.041,0.041,0.041,0.011,0.011,0.011,0.011,0.011,0.011,0.003,0.004,0.003,0.003,0.003,0.003,0.001,0.003,0.002,0.001,0.001,0.001,0.0,0.003,0.0,0.0,0.0,0.0
uncorrelated_entropy_quartiles,0.0,0.001,0.0,0.0,0.0,0.0,0.017,0.017,0.017,0.017,0.017,0.017,0.006,0.007,0.006,0.006,0.006,0.006,0.001,0.004,0.0,0.001,0.001,0.001,0.001,0.004,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0
